id,repo,Title,Description,Assigned To
1,bkvReportServer,D365 Environment save UAT from both projects.,"<p>How can we preserve the UAT environment before we repurpose the San Francisco hardware? </p><p>At a later date we &quot;might&quot; need to put it on a box for export import into new instance of D365. </p><p>LGN TCT project: </p><p><a href=https://ax.d365erp.uat.spartronics.com/namespaces/AXSF/?cmp=DAT&amp;mi=DefaultDashboard title=https://ax.d365erp.uat.spartronics.com/namespaces/axsf/?cmp=dat&amp;mi=defaultdashboard>https://ax.d365erp.uat.spartronics.com/namespaces/AXSF/?cmp=DAT&amp;mi=DefaultDashboard</a> </p><p>BKV VTN project: </p><p><a href=https://spartronics-olduataf42dd59b61d7b9adevaos.axcloud.dynamics.com/?cmp=BKV&amp;mi=DefaultDashboard title=https://spartronics-olduataf42dd59b61d7b9adevaos.axcloud.dynamics.com/?cmp=bkv&amp;mi=defaultdashboard>https://spartronics-olduataf42dd59b61d7b9adevaos.axcloud.dynamics.com/?cmp=BKV&amp;mi=DefaultDashboard</a> </p><p>Looking to be able to bring back up at a later date the config and database in a dev box for reference. </p><p>Help desk link:;<a href=https://servicedesk.spartronics.com/WorkOrder.do?woMode=viewWO&amp;woID=16717>#16717, D365 Environment save UAT from both projects. (spartronics.com)</a> </p> <br>",mikethemerchant
2,bkvReportServer,More Sparton logo removal,"<p style=box-sizing:border-box;color:rgb(226, 226, 226);margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;background-color:rgb(18, 18, 18);><span style=box-sizing:border-box;outline:0px;font-size:12pt;>Hello IT:</span> </p><p style=box-sizing:border-box;color:rgb(226, 226, 226);margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;background-color:rgb(18, 18, 18);><span style=box-sizing:border-box;outline:0px;font-size:12pt;>;</span> </p><p style=box-sizing:border-box;color:rgb(226, 226, 226);margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;background-color:rgb(18, 18, 18);><span style=box-sizing:border-box;outline:0px;font-size:12pt;color:rgb(31, 73, 125);>Please remove the Sparton logo from the AX PRD - RPT-029b report.</span> </p><p style=box-sizing:border-box;color:rgb(226, 226, 226);margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;background-color:rgb(18, 18, 18);><span style=box-sizing:border-box;outline:0px;font-size:12pt;color:rgb(31, 73, 125);>;</span> </p><p style=box-sizing:border-box;color:rgb(226, 226, 226);margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;background-color:rgb(18, 18, 18);><span style=box-sizing:border-box;outline:0px;font-size:12pt;color:rgb(31, 73, 125);>Thank you,</span> </p><br> ",mikethemerchant
3,bkvReportServer,Research 2 Locking procs,"<p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;margin-bottom:12.0pt;><b><span style=font-family:&quot;Cambria&quot;,serif;color:red;>information.</span></b><span style=font-size:11.0pt;> </span><span style=font-size:11.0pt;></span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>Hi Everyone,</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>5 incidents of long process
blocking occurred on ELKPRDSQLCLUS1 between 9 PM CST yesterday and 5 AM CST
today. The chart below shows culprit processes (responsible for blocking) as
thick bars and victim processes (which were blocked by culprits) as thin bars.
There were 5 culprits.</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>All of these processes
(culprits and victims) came from Microsoft Dynamics AX running on host servers
ELKPRDAX1, ELKPRDAX2, and ELKPRDAX3. </span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>In every incident, the
problem was on the application side: the culprit process went idle without
committing the last transaction, which resulted in the culprit holding locks on
tables it had changed earlier, even through it wasn’t running any queries. This
happens when the application executes BEGIN TRANSACTION, then changes data in
tables through INSER/UPDATE/DELETE queries, and never executes COMMIT
TRANSACTION or ROLLBACK TRANSACTION. This is a bug in the application that it
allows such scenario and doesn’t have any safety process to check for such
abandoned processes and terminate them (which causes a rollback and releases
locks).</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>In incidents 1, 4, and 5,
blocking occurred on the table [AX2009_SPARTON_PRD].[dbo].[REQPLAN] (i.e. the
culprit process was holding an exclusive lock on that table while sitting idle,
while victim processes were trying to access the table and were blocked).</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>In incidents 2 and 3,
blocking occurred on the table [AX2009_SPARTON_PRD].[dbo].[SMMTRANSLOG].</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>This is an application
problem that can’t be fixed from the SQL Server side. If you like, I can
implement auto-killing of blocker processes after they cause this problem for a
certain number of minutes, which isn’t a cure for the root cause, but a
pain-killer. </span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;><img width=1057 height=805 style=height:8.385in;width:11.01in;></span><span style=font-size:11.0pt;></span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>Thanks,</span><span style=font-size:11.0pt;></span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>Andrew</span><span style=font-size:11.0pt;></span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>708-609-8783</span><span style=font-size:11.0pt;></span> </p><p style=margin:0in;font-size:10pt;font-family:Calibri, sans-serif;><span style=font-size:11.0pt;>;</span> </p><br> ",mikethemerchant
4,bkvReportServer,Report Needed - RPT-017 PO Receipts new column: Need to add GR number,"<p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;><b style=box-sizing:border-box;font-weight:bold;outline:0px;>IT Team,</b><br style=box-sizing:border-box;outline:0px;> </p><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>;;; We have a large program that requires a custom report be generated for them on a weekly basis.<br style=box-sizing:border-box;outline:0px;> </p><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>We were hoping you could assist with the following request<br style=box-sizing:border-box;outline:0px;> </p><ol style=box-sizing:border-box;margin-top:0in;margin-bottom:9px;outline:0px;color:rgb(17, 17, 17);font-family:Arial, Verdana;font-size:13px;><li style=box-sizing:border-box;outline:0px;color:red;margin-left:0in;>Report RPT-017 PO Receipts – Need to add GR number (Batch Number) and date code<br style=box-sizing:border-box;outline:0px;> </li> </ol><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>;<br style=box-sizing:border-box;outline:0px;> </p><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>Can you please advise if you are able to add these fields to this existing report?<br style=box-sizing:border-box;outline:0px;> </p><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>;<br style=box-sizing:border-box;outline:0px;> </p><p style=box-sizing:border-box;margin:0px;outline:0px;font-family:Arial, Verdana;font-size:13px;>Info requested is circled below for reference </p> <br> <a href=https://servicedesk.spartronics.com/WorkOrder.do?woMode=viewWO&amp;woID=11392>(1) ManageEngine ServiceDesk Plus (spartronics.com)</a><br> ",mikethemerchant
5,inoScript,CUI operator handling,,JRLSLLC
6,inoScript,SoDash - Views not showing updated information,,JRLSLLC
7,inoScript,Errors Continue,,JRLSLLC
8,inoScript,issue in COM,,JRLSLLC
9,inoScript,Loleta Error,,JRLSLLC
10,inoScript,Serial not at your site.,,JRLSLLC
